,Unnamed: 0,firm,kiscode,kiscode_tf
6,6,씨제이프레시웨이(주),157210,157210
7,7,(주)씨제이이엔엠,039944,39944
8,8,스튜디오드래곤(주),HP8944,1802708944
9,9,씨제이푸드빌(주),145104,145104
10,10,씨제이엠디원(주),087941,87941
11,11,투썸플레이스(주),IZ0286,1903800286
12,12,(주)씨제이텔레닉스,161029,161029
13,13,씨제이올리브네트웍스(주),046305,46305
14,14,씨제이파워캐스트(주),227284,227284
15,15,씨제이포디플렉스(주),F39230,16039230
16,16,삼해상사(주),074543,74543
17,17,디아이웨어(주),IX2906,1903602906
18,18,(주)메조미디어,108702,108702
19,19,(주)원지,353191,353191
20,20,에스지생활안전(주),390119,390119
21,21,(주)프레시원강남,E68332,15068332
22,22,(주)프레시원남서울,J04721,21004721
23,23,(주)프레시원동서울,I63397,19063397
24,24,(주)씨제이라이브시티,HL9653,1802309653
25,25,(주)송림푸드,237627,237627
26,26,(주)프레시원대구경북,E55368,15055368
27,27,(주)프레시원광주,G69464,17069464
28,28,(주)프레시원미트,I70580,19070580
29,29,젤리피쉬엔터테인먼트(주),F68657,16068657
30,30,(주)프레시원중부,H71436,18071436
31,31,돈돈팜(주),367833,367833
32,32,(주)문화창고,G14062,17014062
33,33,(주)제이에스픽쳐스,C80532,13080532
34,34,타임와이즈인베스트먼트(주),133730,133730
35,35,(주)아트서비스,194216,194216
36,36,(주)화앤담픽쳐스,F66697,16066697
37,37,한국복합물류(주),286575,286575
38,38,(주)디시네마오브코리아,C06921,13006921
39,39,대한통운에스비(주),H82129,18082129
40,40,씨제이대한통운비엔디(주),C12063,13012063
41,41,(주)케이피제이,M21837,24021837
42,42,씨앤아이레저산업(주),390676,390676
43,43,보스포러스인베스트먼트(주),HP8905,1802708905
44,44,스윙엔터테인먼트(주),JD4198,2101404198
45,45,에프앤디인프라(주),IL7925,1902307925
46,46,(주)디베이스앤,JB1950,2101201950
47,47,(주)아트웍스코리아,315004,315004
48,48,마산항제4부두운영(주),111301,111301
49,49,(주)형제푸드,F26180,16026180
50,50,동석물류(주),388620,388620
51,51,어업회사법인신의도천일염(주),F08017,16008017
52,52,울산항만운영(주),111296,111296
53,53,(주)슈퍼레이스,C97823,13097823
54,54,(주)랭크웨이브,E91985,15091985
55,55,(주)제이케이필름,364353,364353
56,56,(주)데이비드토이,H39288,18039288
57,57,(주)송림에프에스,HD0317,1801400317
58,58,(주)코휘드,445688,445688
59,59,(주)스튜디오테이크원,IR0257,1902900257
60,60,(주)지티스트,IM8763,1902408763
61,61,이앤씨인프라(주),B98022,12098022
62,62,(주)빌리프랩,JG9593,2101709593
63,63,(주)스톤뮤직엔터테인먼트,JB2925,2101202925
64,64,(주)아메바컬쳐,F57822,16057822
65,65,(주)원펙트엔터테인먼트,L54340,23054340
66,66,(주)제이에이치투자,JC0036,2101300036
