,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,성명,주식수,지분율,주식수,지분율,주식수,지분율
193,비금융회사,㈜케이리얼티제10호위탁관리부동산투자회사,동일인측,계열회사,㈜케이티에이엠씨,60000,100.00%,-,-,60000,100.00%
194,비금융회사,㈜케이리얼티제10호위탁관리부동산투자회사,동일인측,동일인측 합계,동일인측 합계,60000,100.00%,-,-,60000,100.00%
195,비금융회사,㈜케이리얼티제10호위탁관리부동산투자회사,기타주주,기타,기타,-,-,-,-,-,-
196,비금융회사,㈜케이리얼티제10호위탁관리부동산투자회사,총계,총계,총계,60000,100.00%,-,-,60000,100.00%
197,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,동일인,㈜케이티,600000,100.00%,-,-,600000,54.25%
198,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,계열회사,㈜케이티아이에스,-,-,102217,20.20%,102217,9.24%
199,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,동일인측,동일인측 합계,동일인측 합계,600000,100.00%,102217,20.20%,702217,63.50%
200,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,기타주주,기타,기타,-,-,403705,79.80%,403705,36.50%
201,비금융회사,㈜지이프리미어제1호기업구조조정부동산투자회사,총계,총계,총계,600000,100.00%,505922,100.00%,1105922,100.00%
202,금융회사,㈜스마트로,동일인측,계열회사,이니텍㈜,626736,61.23%,-,-,626736,61.23%
203,금융회사,㈜스마트로,동일인측,계열회사,비씨카드㈜,203694,19.90%,-,-,203694,19.90%
204,금융회사,㈜스마트로,동일인측,동일인 측 합계,동일인 측 합계,830430,81.13%,-,-,830430,81.13%
205,금융회사,㈜스마트로,기타주주,기타,기타,193160,18.87%,-,-,193160,18.87%
206,금융회사,㈜스마트로,총계,총계,총계,1023590,100.00%,-,-,1023590,100.00%
207,금융회사,비씨카드㈜,동일인측,동일인,㈜케이티,3059560,69.54%,-,-,3059560,69.54%
208,금융회사,비씨카드㈜,동일인측,동일인 측 합계,동일인 측 합계,3059560,69.54%,-,-,3059560,69.54%
209,금융회사,비씨카드㈜,기타주주,기타,기타,1340440,30.46%,-,-,1340440,30.46%
210,금융회사,비씨카드㈜,총계,총계,총계,4400000,100.00%,-,-,4400000,100.00%
211,금융회사,브이피㈜,동일인측,계열회사,비씨카드㈜,376993,50.90%,-,-,376993,50.90%
212,금융회사,브이피㈜,동일인측,동일인 측 합계,동일인 측 합계,376993,50.90%,-,-,376993,50.90%
213,금융회사,브이피㈜,기타주주,기타,기타,363593,49.10%,-,-,363593,49.10%
214,금융회사,브이피㈜,총계,총계,,740586,100.00%,-,-,740586,100.00%
215,금융회사,㈜케이티인베스트먼트,동일인측,동일인,㈜케이티,4000000,100.00%,-,-,4000000,100.00%
216,금융회사,㈜케이티인베스트먼트,동일인측,동일인 측 합계,동일인 측 합계,4000000,100.00%,-,-,4000000,100.00%
217,금융회사,㈜케이티인베스트먼트,기타주주,기타,기타,-,-,-,-,-,-
218,금융회사,㈜케이티인베스트먼트,총계,총계,총계,4000000,100.00%,-,-,4000000,100.00%
