,Unnamed: 0,firm,kiscode,kiscode_tf
6,6,농협경제지주(주),H82143,18082143
7,7,(주)농협유통,057701,57701
8,8,농협생명보험(주),H80828,18080828
9,9,농협손해보험(주),H82144,18082144
10,10,(주)농협사료,091975,91975
11,11,(주)농협목우촌,485219,485219
12,12,(주)농협정보시스템,493000,493000
13,13,엔에이치농협캐피탈(주),495653,495653
14,14,(주)농협충북유통,133578,133578
15,15,(주)농협부산경남유통,133644,133644
16,16,(주)농협케미컬,351857,351857
17,17,(주)농협물류,483242,483242
18,18,(주)농협네트웍스,207098,207098
19,19,(주)농협대전유통,133629,133629
20,20,(주)지엔앰퍼포먼스,I05248,19005248
21,21,(주)농협홍삼,212098,212098
22,22,엔에이치아문디자산운용(주),210741,210741
23,23,엔에이치저축은행(주),H03692,18003692
24,24,농협금융지주(주),H81975,18081975
25,25,농업회사법인농협양곡(주),CR3907,1302903907
26,26,엔에이치선물(주),223913,223913
27,27,(주)엔에이치농협무역,261980,261980
28,28,그랑몬스터(주),F96645,16096645
29,29,농업회사법인오리온농협(주),HU2786,1803302786
30,30,농업회사법인농협식품(주),IR8348,1902908348
31,31,(주)농협아그로,046476,46476
32,32,농업회사법인농협티엠알(주),I69299,19069299
33,33,엔에이치농협리츠운용(주),JE3100,2101503100
34,34,(주)그랑플레이스,IW7172,1903507172
35,35,(주)공영홈쇼핑,CR5150,1302905150
36,36,농업협동조합자산관리회사,213822,213822
37,37,(주)상림농업회사법인,149781,149781
38,38,농협흙사랑(주),151044,151044
39,39,(주)더블트리인터랙티브,I78025,19078025
40,40,엔에이치공동투자사모투자(자),JS9694,2103109694
41,41,엔에이치나우농식품1호사모투자(자),JS8194,2103108194
42,42,엔에이치헤지자산운용(주),JQ6552,2102806552
43,43,(자)엔에이치아주아이비중소중견그로쓰2013사모투자전문회사,L89463,23089463
44,44,(자)코에프씨우리그로쓰챔프2010의3호사모투자전문회사,F34104,16034104
45,45,(주)알지에이치브이엘사모해외자원개발특별자산투자회사일호,L24282,23024282
46,46,(주)에이마케팅,L49029,23049029
47,47,(주)엔에이치김해아이앤디,JJ1119,2102101119
48,48,엔에이치나우농식품2호사모투자(자),LV4281,2303404281
49,49,엔에이치뉴그로쓰사모투자(자),JK2283,2102202283
50,50,엔에이치벤처투자(주),JW3740,2103503740
51,51,엔에이치애그리비즈밸류크리에이티브제일호사모투자(자),HO1935,1802601935
52,52,엔에이치큐씨피중소중견글로벌투자파트너쉽사모투자전문회사,L56739,23056739
53,53,이니어스엔에이치사모투자(자),IO7905,1902607905
54,54,지엔엠홀딩스(주),JO2433,2102602433
55,55,(주)햇살유통,J36175,21036175
56,56,(주)라이크앤클릭,HU2657,1803302657
0,0,디엘(주),500070,500070
1,1,대림건설(주),500739,500739
2,2,(주)대림,023705,23705
3,3,글래드호텔앤리조트(주),903043,903043
4,4,디엘모터스(주),381586,381586
5,5,(주)대림피앤피,JQ9232,2102809232
6,6,포천파워(주),C43222,13043222
7,7,디엘에너지(주),L40345,23040345
8,8,포승그린파워(주),M33400,24033400
9,9,(주)켐텍,F22384,16022384
10,10,밀머란에스피씨(주),L19845,23019845
11,11,송도파워(주),C38956,13038956
12,12,덕송내각고속화도로(주),F98513,16098513
13,13,청진이삼프로젝트(주),F34899,16034899
14,14,하이웨이솔라(주),L39441,23039441
15,15,험프리에스엘큐원(주),F16947,16016947
16,16,에이플러스디(주),F22386,16022386
17,17,에코술이홀(주),372696,372696
18,18,제주항공우주호텔(주),I71408,19071408
19,19,김해동서터널(주),C15424,13015424
20,20,청진이삼자산관리(주),H30184,18030184
21,21,(주)대림제5호천안원성동기업형임대위탁관리부동산투자회사,IL7761,1902307761
22,22,(주)대림제6호부산우암동기업형임대위탁관리부동산투자회사,IR3602,1902903602
23,23,(주)대림제7호마산회원기업형임대위탁관리부동산투자회사,JV4663,2103404663
24,24,(주)삼호시트론시티,LB4087,2301204087
25,25,대림에이엠씨(주),HS6245,1803106245
26,26,디엘에프엔씨(주),LD8371,2301408371
27,27,영주에코파워(주),JW2258,2103502258
28,28,코크레인에스피씨(주),LC0688,2301300688
0,0,아시아나항공(주),711187,711187
1,1,에어부산(주),C13841,13013841
2,2,금호산업(주),610364,610364
3,3,아시아나아이디티(주),790681,790681
4,4,금호고속(주),469520,469520
5,5,아시아나에어포트(주),711292,711292
6,6,케이에이(주),I91227,19091227
7,7,금호리조트(주),468937,468937
8,8,에어서울(주),HD4716,1801404716
9,9,금호속리산고속(주),710253,710253
10,10,아시아나세이버(주),237719,237719
11,11,금호티앤아이(주),IM9800,1902409800
12,12,아시아나개발(주),608980,608980
13,13,충주보라매(주),388981,388981
14,14,에이큐(주),HP4012,1802704012
15,15,케이에프(주),I91229,19091229
16,16,케이오(주),CR5110,1302905110
17,17,에이에이치(주),IX6317,1903606317
