,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
107,비금융회사,스카이라이프티브이,동일인측,동일인 측 합계,동일인 측 합계,37410000,92.58%,-,-,37410000.0,92.58%,동일인 측 합계,40410000.0,0.9257609502598366,50,50,,,
108,비금융회사,스카이라이프티브이,기타주주,기타,기타,3000000,7.42%,-,-,3000000.0,7.42%,기타,40410000.0,0.07423904974016332,99,99,0.07423904974016332,0.07423904974016332,
109,비금융회사,스카이라이프티브이,총계,총계,총계,40410000,100.00%,-,-,40410000.0,100.00%,총계,40410000.0,1.0,50,50,,,
110,비금융회사,에이치엔씨네트워크,동일인측,동일인,케이티,8903,1.00%,-,-,8903.0,1.00%,동일인,889650.0,0.010007306244028551,0,0,0.010007306244028551,0.010007306244028551,
111,비금융회사,에이치엔씨네트워크,동일인측,계열회사,비씨카드,880747,99.00%,-,-,880747.0,99.00%,계열회사,889650.0,0.9899926937559714,1,1,0.9899926937559714,0.9899926937559714,비씨카드
112,비금융회사,에이치엔씨네트워크,동일인측,동일인 측 합계,동일인 측 합계,889650,100.00%,-,-,889650.0,100.00%,동일인 측 합계,889650.0,1.0,50,50,,,
113,비금융회사,에이치엔씨네트워크,기타주주,기타,기타,-,-,-,-,,-,기타,889650.0,,99,99,0.0,0.0,
114,비금융회사,에이치엔씨네트워크,총계,총계,총계,889650,100.00%,-,-,889650.0,100.00%,총계,889650.0,1.0,50,50,,,
115,비금융회사,이니텍,동일인측,계열회사,에이치엔씨네트워크,11280069,57.00%,-,-,11280069.0,57.00%,계열회사,19790916.0,0.5699619461777312,1,1,0.5699619461777312,0.5699619461777312,에이치엔씨네트워크
116,비금융회사,이니텍,동일인측,자기주식,이니텍,399280,2.02%,-,-,399280.0,2.02%,자기주식,19790916.0,0.020174912570999747,50,0,,0.020174912570999747,
